AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
16286,445189786,78,1,2024-05-07,1,欧美 R&B/Soul 90后 ,36,欧美R&B入坑曲：封神旋律 是谁的一代青春,10009377589,https://music.163.com/playlist?id=10009377589
122084,389336627,1026,10,2024-02-27,10,欧美 另类/独立 兴奋 ,78,荒诞美学｜神秘诡谲°优雅与疯狂,9355373057,https://music.163.com/playlist?id=9355373057
284242,342371680,1124,5,2024-03-05,10,华语 流行 R&B/Soul ,130,华语R&B：百听不厌的华语节奏布鲁斯,9381079097,https://music.163.com/playlist?id=9381079097
113145992,7017009,2636419,6883,2014-08-30,37693,轻音乐 学习 治愈 ,44,那些你熟悉却又不知道名字的轻音乐,26467411,https://music.163.com/playlist?id=26467411
185147,1661470704,800,6,2024-03-06,26,欧美 流行 英伦 ,30,第44届全英音乐奖‖SZA拿下年度国际艺术家,9388585797,https://music.163.com/playlist?id=9388585797
3131,346769611,23,评论,2024-05-11,0,电子 流行 游戏 ,48,『游戏高燃BGM｜全程高能一燃到底』,10040225713,https://music.163.com/playlist?id=10040225713
195265,290894929,708,3,2024-02-26,7,流行 舞曲 韩语 ,88,『韩语歌』那些让人一秒沦陷的神仙前奏,9351138519,https://music.163.com/playlist?id=9351138519
34039,115793593,155,3,2024-03-21,1,欧美 电子 驾车 ,116,运动【硬曲】【战歌起】自律时代,9501641586,https://music.163.com/playlist?id=9501641586
15803,342371680,105,评论,2024-04-10,0,欧美 R&B/Soul 浪漫 ,39,无前奏R&B | 开口脆 强吻般浪漫布鲁斯,9744022802,https://music.163.com/playlist?id=9744022802
5185,1475052225,42,1,2024-03-30,1,欧美 电子 驾车 ,106,车载必备｜高速必备DJ舞曲,9590480987,https://music.163.com/playlist?id=9590480987
473712,107742044,3222,5,2024-04-06,31,华语 流行 综艺 ,114,最强音综：神级现场，惊艳全场,9690444186,https://music.163.com/playlist?id=9690444186
97350,2071162991,202,1,2024-03-18,8,华语 流行 夜晚 ,85,亲爱的你是唯一让我如此难以入眠,9474470606,https://music.163.com/playlist?id=9474470606
62847,115793593,288,4,2024-03-21,3,欧美 电子 驾车 ,120,运动【硬曲】【战歌起】自律时代,9500819475,https://music.163.com/playlist?id=9500819475
13946,380154710,66,2,2024-05-03,5,日语 摇滚 ACG ,48,日漫超燃ACG |命运止于此夜 无尽刀剑齐鸣,9978045476,https://music.163.com/playlist?id=9978045476
4559,1475052225,40,3,2024-03-26,1,欧美 电子 驾车 ,98,运动【硬曲】【战歌起】自律时代,9536140543,https://music.163.com/playlist?id=9536140543
31292,1411918350,1245,32,2024-04-12,37,欧美 流行 R&B/Soul ,100,Spotify 流媒体时代最伟大的100首R&B歌曲,9760878350,https://music.163.com/playlist?id=9760878350
84036,5088441805,670,11,2024-05-07,8,欧美 浪漫 R&B/Soul ,67,微醺氛围感R&B：韵律小情歌 慵懒俏皮性感,10017037167,https://music.163.com/playlist?id=10017037167
100021,342371680,1195,7,2024-04-12,19,欧美 R&B/Soul 放松 ,88,100%松弛度/灵魂乐R&B 慵懒 迷幻氛围,9772379403,https://music.163.com/playlist?id=9772379403
4694,349808402,16,评论,2024-05-01,0,欧美 电子 游戏 ,92,那些超燃超带感的英文歌【精选合集no.1】,9958289078,https://music.163.com/playlist?id=9958289078
1901,342371680,32,1,2024-04-17,1,安静 孤独 治愈 ,58,至此鲜花赠自己，纵马踏花向自由,9813546897,https://music.163.com/playlist?id=9813546897
234535,2071162991,513,2,2024-03-11,5,华语 流行 说唱 ,92,春日限定｜嗓音里的惬意慵懒，暧昧不断…,9411308233,https://music.163.com/playlist?id=9411308233
167994,312585551,531,2,2024-03-02,5,华语 流行 90后 ,170,华语80，90后经典老歌 | 怀念青春的模样,9369249551,https://music.163.com/playlist?id=9369249551
48034,513946110,681,2,2024-05-14,3,华语 流行 综艺 ,40,『综艺』天赐的声音第五季｜最全合集,10052218918,https://music.163.com/playlist?id=10052218918
2934,445189786,19,评论,2024-05-03,0,流行 夜晚 伤感 ,90,雨停了 再送伞就没意义了,9981784231,https://music.163.com/playlist?id=9981784231
55770,339152569,890,3,2024-04-12,0,华语 流行 R&B/Soul ,56,【R&B/流行】今天辛苦了 进来休息下吧！,9765947737,https://music.163.com/playlist?id=9765947737
3976,312585551,35,评论,2024-05-12,1,电子 驾车 性感 ,115,抖腿车载DJ硬曲 | 低音炮震撼低沉鼓点音浪,10042588952,https://music.163.com/playlist?id=10042588952
7504,342371680,66,评论,2024-03-19,2,欧美 流行 快乐 ,87,欧美清爽调 | 自由灵魂氧 | 音乐律动walk,9482738367,https://music.163.com/playlist?id=9482738367
927396,107742044,5084,3,2024-02-16,29,流行 华语 综艺 ,143,综艺名场面live：一人一首成名曲,9305502310,https://music.163.com/playlist?id=9305502310
10019,3242104111,72,评论,2024-04-08,1,华语 说唱 民族 ,32,民族嘻哈｜说唱不止迪士尼还有五湖四海的风,9719176687,https://music.163.com/playlist?id=9719176687
22136,107742044,173,评论,2024-05-12,0,华语 流行 综艺 ,78,天赐的声音我是歌手：历届金曲舞台,10042248091,https://music.163.com/playlist?id=10042248091
115599,107742044,222,1,2024-02-16,3,韩语 流行 酒吧 ,56,韩语流行热歌：哪首是你的心头好,9306039296,https://music.163.com/playlist?id=9306039296
38504,2071162991,96,1,2024-04-29,3,华语 流行 浪漫 ,145,大胆奔赴 | 允许一切如其所事,9936735669,https://music.163.com/playlist?id=9936735669
2560,445189786,31,评论,2024-05-11,0,日语 流行 治愈 ,124,日语治愈：动心旋律 温柔治愈的日系歌曲,10040430937,https://music.163.com/playlist?id=10040430937
276837,1461603447,654,28,2024-05-17,24,快乐 浪漫 放松 ,43,520心动指南｜其实只是想找个理由见你,10063041158,https://music.163.com/playlist?id=10063041158
7785,1499091900,26,2,2024-04-30,0,华语 R&B/Soul 浪漫 ,35,华语R&B||把地球倒置，我用撒哈拉沙漠计时,9951852914,https://music.163.com/playlist?id=9951852914
11573,1475052225,74,评论,2024-03-26,3,欧美 电子 驾车 ,118,运动【硬曲】【战歌起】自律时代,9536256775,https://music.163.com/playlist?id=9536256775
3858,380154710,20,1,2024-04-20,2,华语 流行 经典 ,56,反方向的钟 | “说好的幸福呢”,9845931493,https://music.163.com/playlist?id=9845931493
21149,2118682115,111,评论,2024-04-11,2,华语 电子 驾车 ,203,一听上瘾丨适合循环播放DJ咚鼓歌曲,9756121142,https://music.163.com/playlist?id=9756121142
